Roll Number,English,Mathematics-I,DigitalLogicSystem,ComputerFundamentals&Application,ProgrammingLogic&Techniques,SGPA
21535161,A,A-,A,A,A,3.94
21535162,A-,C,C+,B+,A-,3
21535163,F,F,F,C,D+,-
21535164,B+,B+,B,A-,A-,3.4
21535165,B,F,F,B-,C-,-
21535166,B+,C+,F,B,C-,-
21535167,B,B-,B,B+,C+,2.86
21535168,C+,C-,F,B-,C+,-
21535169,C+,F,F,C,C,-
21535170,B+,A-,B,A-,A-,3.48
21535171,A-,B+,B+,B+,C,3.12
21535172,B,F,F,B,C,-
21535175,B,B-,F,B,C,-
21535176,A-,B,C,A-,B,3.08
21535177,B-,F,F,F,C-,-
21535178,B,B,C+,A-,C+,2.86
21535179,B-,B+,F,B,C,-
21535180,A-,A,B+,A,A,3.8
21535181,B+,B,B-,B+,B+,3.12
21535182,B-,B-,C+,B+,F,-
21535183,A-,B+,B,A-,B+,3.4
21535184,A-,B,B,A-,B+,3.34
21535185,A-,A,B,Expelled,B,-
21535186,B+,B,B-,B+,C+,2.92
21535187,B,B+,C-,B,C+,2.66
21535188,B,B,C-,C+,F,-
21535189,B,B-,C,B+,C+,2.66
21535190,B+,B-,F,A,B+,-
21535191,A,A,A,A-,A,3.94
21535192,B+,A-,B-,B+,C+,3.06
21535193,B,C,F,B+,B+,-
21535194,A-,B,B+,A,A,3.6
21535195,A-,B-,F,A-,B,-
21535196,B,B-,B-,A-,A-,3.16
21535197,B-,C,F,B,B-,-
21535198,B-,B,C+,C+,C-,2.4
21535199,B+,C,F,C,C,-
21535200,B+,A-,B-,A-,A-,3.42
21535201,B+,B+,C+,B-,B,2.92
21535202,B+,B-,B-,A,A,3.34
21535203,B-,B-,F,B-,B-,-
21535204,B,C+,F,B-,B-,-
21535205,A-,B,B-,A-,A-,3.36
21535206,A,A,A-,A,B,3.74
21535207,B-,C+,Abs,C+,C+,-
21535208,A-,B+,C-,B,C+,2.8
21535209,B+,B+,B-,B+,B+,3.18
21535210,A-,A,A-,A,A-,3.82
21535211,A-,A-,A-,A-,B+,3.62
21535212,B+,B+,B,B+,B+,3.24
21535213,C,F,F,F,F,-
